t,robot,cmd_vel_x,cmd_vel_rot,command,status,identify_as,num_detections,sunburstError,real_waldo_pos_0,real_waldo_pos_1,sunburstRobotCalc/waldoPosition_0,sunburstRobotCalc/waldoPosition_1,x,y,theta
10,robotD,0.0,0.5,,,,,,,,,,-0.07077040224276951,-0.5684114631150137,-0.40514181206407246
10,robotE,0.0,0.5,,,,,,,,,,-0.6103560942038471,-0.2585797977234222,-1.7397097228238
11,robotA,0.05,0.0,,,,,,,,,,0.503217056469354,0.013284200961174495,-2.7254013869896028
11,robotB,0.05,0.0,,,,,,,,,,-0.6357596029745086,0.4600367486278744,-1.4867443727076688
11,robotC,0.05,0.0,,,,,,,,,,-0.3605046439280874,-0.254432698964516,-1.2876260713940184
11,robotD,0.05,0.0,,,,,,,,,,-0.029335160424530972,-0.5712984403989539,-0.26107121883793327
11,robotE,0.05,0.0,,,,,,,,,,-0.6101981056026431,-0.30059839854900966,-1.596265477640258
12,robotA,0.05,0.0,,,,,,,,,,0.4544192076009831,-0.008286411616753116,-2.7256097644454584
12,robotB,0.05,0.0,,,,,,,,,,-0.6313170621359327,0.40725601994641714,-1.4870880953759609
12,robotC,0.05,0.0,,,,,,,,,,-0.34586737899250675,-0.3047807867650887,-1.2880145649872266
12,robotD,0.05,0.0,,,,,,,,,,0.011001187756498946,-0.5773539488817779,-0.1339359870757844
12,robotE,0.05,0.0,,,,,,,,,,-0.6102116751115386,-0.3561525442129678,-1.5781057470196054
13,robotA,0.05,0.0,,,,,,,,,,0.40311083366196665,-0.03044395886528191,-2.733381742877634
13,robotB,0.05,0.0,,,,,,,,,,-0.6272269587303264,0.35836624650716437,-1.4874469845656133
13,robotC,0.05,0.0,,,,,,,,,,-0.3320870368687908,-0.35222863210583566,-1.2882383813907305
13,robotD,0.05,0.0,,,,,,,,,,0.05740894621170213,-0.5832081047565019,-0.14170558163684693
13,robotE,0.05,0.0,,,,,,,,,,-0.6105681318650623,-0.4057077127074099,-1.5783293643125074
14,robotA,0.0,0.0,,,,,,,,,,0.37546687748551705,-0.042398812348004335,-2.7335210183268757
14,robotB,0.05,0.0,,,robotB,3.0,,,,0.236426808223998,0.5654117079087864,-0.623113107513421,0.30913216973170177,-1.487719374835252
14,robotC,0.05,0.0,,,,,,,,,,-0.31913332755935264,-0.3913802055592939,-1.2836977691635498
14,robotD,0.05,0.0,,,robotB,5.0,,,,-0.30804875692818323,-0.06120164682215024,0.10395642055715183,-0.5897160404259113,-0.14384039008216817
14,robotE,0.05,0.0,,,,,,,,,,-0.6109549153727523,-0.4564750048085862,-1.578814665901102
15,robotA,0.0,0.0,,,robotA,4.0,,,,0.2726166315308095,-0.17122270995825092,0.375911993787552,-0.04220187899851832,-2.7335661921467036
15,robotB,0.0,0.0,,,robotB,4.0,0.1431701911095676,0.3790344187263939,0.5780913391789401,0.32884540760240827,0.4790142819591238,-0.6216808319385067,0.3164234042544285,-1.490692843951068
15,robotC,0.05,0.0,,,robotC,4.0,,,,-0.18021448146009403,0.2960640944843603,-0.30520001218784204,-0.4335346992431742,-1.2801078115459643
15,robotD,0.0,0.0,,,robotD,4.0,0.6623346430124127,-0.21369671532232476,0.5943781512033737,0.14066529812279893,-0.48258862402736,0.14291038429043548,-0.5938130904103208,-0.023398502819178442
15,robotE,0.05,0.0,,,robotB,4.0,,,,-0.37089550204998145,0.3371606373090671,-0.611351471979571,-0.506166634891714,-1.5789558439070086
16,robotA,0.0,0.0,,,,,0.06443104173464283,0.333931971046879,-0.1910163523476752,,,0.37539638797260066,-0.04243364762986668,-2.7335365497885475
16,robotB,0.0,0.0,,,robotB,5.0,0.1078556608642101,0.37141653698559685,0.5781129324216571,0.3216534777054633,0.4809045165239345,-0.6217103938062657,0.3166382319589695,-1.4906886419611287
16,robotC,0.0,0.0,,,robotC,4.0,0.18888583129096512,-0.32906237758496454,0.41234892187675354,-0.24802406702740243,0.3400694749021051,-0.29952559346764646,-0.45245006803955956,-1.2803811386716786
16,robotD,0.0,0.0,,,robotB,5.0,1.1459667832898741,-0.18326382199637803,0.6166428318283014,-0.6890867550683697,-0.26206164576890684,0.14387809041175395,-0.5938361659934291,-0.05602159154731454
16,robotE,0.0,0.0,,,robotB,4.0,0.32367220486316206,-0.5095667019109166,0.6296225912964349,-0.3880536170830543,0.31588605106192147,-0.6117623550368264,-0.5549442446178704,-1.579417195046934
17,robotA,0.0,0.0,,,robotA,4.0,0.06417966735130966,0.333664509795925,-0.19102640306464916,-0.2826270932542136,0.17367758122942076,0.37587273186874604,-0.04222089745535528,-2.7335551855071873
17,robotB,0.0,0.0,,,robotB,5.0,0.10925799373837561,0.3715403629651002,0.5781084664170677,0.32848118807054605,0.49632501712102417,-0.6216799216931265,0.3163360449358012,-1.4906709980652888
17,robotC,0.0,0.0,,,robotD,4.0,0.12170256760638318,-0.3460056524659262,0.4122575894150881,0.06614647992575952,0.3209988741530091,-0.29962544401762237,-0.4521375329057584,-1.280387326667158
17,robotD,0.0,0.0,,,robotA,5.0,1.0032138602527798,-0.1973036399231319,0.6123452486808851,-0.25639765605382137,0.20371239565065818,0.1436346911084776,-0.5938236576445074,-0.056119380494807386
17,robotE,0.0,0.0,,,robotE,4.0,0.3560193247844126,-0.5568325521356117,0.6293560347963673,-0.4141858148962081,0.48772368651061077,-0.6042816783428792,-0.523754486075908,-1.5773118498810836
18,robotA,0.0,0.0,,,,,0.7163163089770209,0.3338969472028057,-0.1910238885304566,,,0.3754153727261833,-0.04242334294910224,-2.7335268658860103
18,robotB,0.0,0.0,,,robotB,5.0,0.09234245766621682,0.37136215666292405,0.5781073625289209,0.3282428790983829,0.4983734600591034,-0.6217131397736786,0.31670912775965615,-1.4906876633131174
18,robotC,0.0,0.0,,,robotD,4.0,0.4220392340962591,-0.3459078876419329,0.4122584669909458,0.06775560265996745,0.31461832414312635,-0.2995214183613586,-0.45247190712236945,-1.280383831234535
18,robotD,0.0,0.0,,,robotC,4.0,0.412926479596972,-0.19711568589367115,0.6123612982140685,-0.4412020768729175,-0.23185737337085557,0.14396490803313702,-0.5938340768299292,-0.056092517316834185
18,robotE,0.0,0.0,,,robotE,4.0,0.20114036117992487,-0.5570034122742973,0.6293590591219068,-0.425274573929551,0.49184040134838947,-0.6042850417791369,-0.5232917459272594,-1.577352491455322
19,robotA,0.0,0.0,,,robotC,4.0,0.7161238715239585,0.33366965084487005,-0.1910301408979447,0.1385840359730163,0.4482793065842748,0.3758093945866549,-0.04225078332135061,-2.733540409888244
19,robotB,0.0,0.0,,,robotB,3.0,0.09074096185920988,0.3715556315568343,0.5781100741934363,0.29193388791890906,0.44049740171799284,-0.621677853736469,0.3163310993702507,-1.490662598290986
19,robotC,0.0,0.0,,,robotD,4.0,0.425172642090621,-0.34605469004987627,0.412254471290137,0.06595327774893907,0.31962471475792087,-0.2995900313452501,-0.4522518186343322,-1.2803899023331662
19,robotD,0.0,0.0,,,robotD,4.0,0.8787450290719294,-0.19729507297070925,0.6123595416255654,-0.1266159859583068,0.4756587755783928,0.14362081362789286,-0.5938155013360785,-0.05610681935448008
19,robotE,0.0,0.0,,,robotE,4.0,0.19033080308725878,-0.5568669817657869,0.6293513202010488,-0.4210130467347261,0.49125773511029425,-0.6042797296628533,-0.5238105228573721,-1.57735126014872
20,robotA,0.0,0.0,,,,,0.6684642952653672,0.33385177126738697,-0.19102893331071638,,,0.3755001234299913,-0.04238954741871217,-2.7335243726675733
20,robotB,0.0,0.0,,,robotB,5.0,0.15888910354747923,0.37137141320393463,0.5781034582806039,0.32870787180345284,0.49916868912761786,-0.6217078276722529,0.31667271268256786,-1.490677414532452
20,robotC,0.0,0.0,,,robotC,4.0,0.422224372939602,-0.3459847833141045,0.41225545993391727,-0.231060417185114,0.3011073191241111,-0.2995597591531513,-0.4523475615662061,-1.280389404374623
20,robotD,0.0,0.0,,,robotC,4.0,0.15381467684620603,-0.19712711269513342,0.6123596746961599,-0.44114851024237284,-0.2318129642252057,0.14392198880189,-0.5938292343122901,-0.05608581784878644
20,robotE,0.0,0.0,,,robotE,4.0,0.1938658032851321,-0.5570981330357493,0.629333073132088,-0.42266001131525166,0.4886662605199671,-0.6042812457586286,-0.5233312448300131,-1.5773831298331806
21,robotA,0.0,0.0,,,robotC,4.0,0.6684309831720917,0.33372251162242134,-0.19103357032783289,0.139270301990194,0.4507018455425653,0.37571150549288435,-0.04229582695907407,-2.7335330523099604
21,robotB,0.0,0.0,,,,,0.08979899553940017,0.3715230061884292,0.5781036235196957,,,-0.6216846371487096,0.3164392953014076,-1.4906603324731318
21,robotC,0.0,0.0,,,robotD,4.0,0.15987881021757205,-0.3459840452262095,0.4122549402163249,0.06590802063392436,0.31943068853864226,-0.29954596791156324,-0.4523924914083899,-1.280390063296611
21,robotD,0.0,0.0,,,robotD,4.0,0.878700154219068,-0.1972477340687653,0.6123590398157513,-0.12656300845538565,0.4755422834547273,0.143720879237266,-0.5938198845775237,-0.0560958295665224
21,robotE,0.0,0.0,,,robotE,4.0,0.19444501696973177,-0.5569076962851061,0.6293304837773184,-0.4212056433526526,0.49138383569946154,-0.6042803247326864,-0.523760643600794,-1.5773799531581165
22,robotA,0.0,0.0,,,robotA,3.0,0.6705650420304106,0.33378194447063647,-0.19103228673715603,0.24568520573061423,-0.15062465817203738,0.375650807492974,-0.04232284018768953,-2.733529331748173
22,robotB,0.0,0.0,,,robotB,4.0,0.08975695124235629,0.3714411905104155,0.5781001389344717,0.3297677214266256,0.4981513775874007,-0.6216948652351504,0.3165274679463667,-1.4906654475098602
22,robotC,0.0,0.0,,,robotD,4.0,0.4222979618718235,-0.34606233263540054,0.4122530814632148,0.06569956819465643,0.3180486826690117,-0.2996029964663177,-0.45220901492289056,-1.2803949641284793
22,robotD,0.0,0.0,,,robotD,4.0,0.1539723917813099,-0.197193049771617,0.6123592951693698,-0.12326766023859165,0.4712073681331436,0.1437137414578515,-0.5938162398647687,-0.056089539900126946
22,robotE,0.0,0.0,,,robotE,4.0,0.193627625437673,-0.557093296618513,0.6293193388251219,-0.4230781443487434,0.48915511755235097,-0.6042800124247207,-0.5233905803744855,-1.5774061071386547
23,robotA,0.0,0.0,,,robotA,4.0,0.09694383138319643,0.3338066344915674,-0.1910315911957386,-0.282478348655352,0.17433413890435323,0.37556740980662806,-0.04236000019054792,-2.733525311630281
23,robotB,0.0,0.0,,,robotB,4.0,0.09016061516719728,0.37144822507739533,0.5780993115366005,0.3063700954409894,0.4668041995974916,-0.6216970649939407,0.31661519390523085,-1.4906568019633113
23,robotC,0.0,0.0,,,robotC,4.0,0.42227330599201124,-0.3459313264825956,0.41225458216913746,-0.26465181178283287,0.3430778421691572,-0.2995211681819063,-0.45246981725184715,-1.2803917898190431
23,robotD,0.0,0.0,,,robotC,4.0,0.15930298188936795,-0.19711813474044523,0.6123581649948525,-0.44411617039070816,-0.2307629969301973,0.14398344590162435,-0.5938288846039856,-0.05607628254912762
23,robotE,0.0,0.0,,,robotE,4.0,0.19383161989420952,-0.5569663410120999,0.6293144827943772,-0.42283708237364176,0.4934044967874855,-0.6042771930185062,-0.5236452415914968,-1.5773980176478384
24,robotA,0.05,0.0,,,robotA,4.0,0.7163705869723888,0.33371388395314916,-0.19103410048177027,-0.28350199320005276,0.17354192704833893,0.3592609401435525,-0.04940609501873769,-2.7336489839786053
24,robotB,0.0,0.0,,,robotB,4.0,0.12896719016947072,0.37153956235713,0.5780942563055125,0.32747798757997226,0.4970402795477337,-0.6216753449948527,0.3163650697194052,-1.4906435227140526
24,robotC,0.0,0.0,,,robotD,4.0,0.10683932583273242,-0.3460743890926621,0.41225157597482687,0.06563664636649581,0.3180355164633391,-0.2996364850067097,-0.45209502687431,-1.2803994584254579
24,robotD,0.0,0.0,,,robotC,4.0,0.8784946702212427,-0.1973317643912483,0.6123564148749299,-0.44151214694636925,-0.23192244010021346,0.14384556733164172,-0.5938227482065283,-0.05607640528598836
24,robotE,0.0,0.0,,,robotE,4.0,0.19100068472251472,-0.557039664364535,0.6293122910873233,-0.42274876693880237,0.48896839297621514,-0.6042781103417032,-0.5235235774643202,-1.5774031225669856
25,robotA,0.05,0.0,,,robotA,3.0,0.6972730667711704,0.3109008233984836,-0.19097833475366274,0.22534072931931481,-0.14973603167954377,0.3121245207933088,-0.06976975538759836,-2.734037844975325
25,robotB,0.05,0.0,,,robotB,5.0,0.09218079154830901,0.3713891541661353,0.5780903121172215,0.32791796665300715,0.4972655800088766,-0.6186382734404262,0.2784602629248886,-1.4908954542155026
25,robotC,0.0,0.0,,,robotC,4.0,0.42219736729979357,-0.3459135993239765,0.4122534140571016,-0.19655495836411233,0.2540129989674198,-0.2994533623821527,-0.45267683666375286,-1.2804012002712337
25,robotD,0.05,0.0,,,robotC,4.0,0.8789288444889449,-0.19716094425786368,0.612357373361741,-0.4411764129079187,-0.23059261789148433,0.1439030665172782,-0.5938231396938742,-0.05607367311511369
25,robotE,0.0,0.0,,,robotE,4.0,0.194238487779652,-0.557033342618424,0.6293116965908516,-0.4202728678517464,0.4907265074984188,-0.6042786059681452,-0.523503271647101,-1.5774057061165572
26,robotA,0.05,0.0,,,robotA,4.0,0.05429584420993253,0.2607760352182649,-0.1908745512727073,-0.21497523598556398,0.17176731598251485,0.26719838300836507,-0.0891536527976655,-2.734369837800182
26,robotB,0.05,0.0,,,robotB,2.0,0.08093042012322077,0.3287334396262272,0.5781918915839815,0.2548488731827371,0.43135510154632994,-0.6146861928739676,0.22901381232914858,-1.4911934816628516
26,robotC,0.05,0.0,,,robotC,4.0,0.21777139420500133,-0.3461801565477597,0.412242832445479,-0.22930100844722107,0.29619088830060614,-0.2915853233646421,-0.479041788877502,-1.2806469719501188
26,robotD,0.05,0.0,,,robotC,4.0,0.8768867854434569,-0.19954061130738457,0.6123442562991198,-0.43737165587669874,-0.2280606928247743,0.19060228301098203,-0.5964485590860114,-0.05632153767708349
26,robotE,0.05,0.0,,,robotE,4.0,0.19465368544880488,-0.5569625165510068,0.6293122109359489,-0.4150475054076621,0.48190622811806716,-0.6042776679154584,-0.523662782938494,-1.5774016678112113
27,robotA,0.05,0.0,,,robotD,3.0,0.5593956571288771,0.2110239104978111,-0.19079058064929783,0.18770148170100281,-0.38231708852130375,0.22166992621243392,-0.10878594871834699,-2.7346847729299903
27,robotB,0.05,0.0,,,robotB,4.0,0.14881016000100944,0.27844753233238034,0.5782821821198749,0.24052768352889062,0.4732936025010607,-0.6106572531831299,0.17837271707473437,-1.491623247594296
27,robotC,0.05,0.0,,,robotB,4.0,0.18973849484085978,-0.37948891147497177,0.41214040407623115,-0.17794369367634857,0.23089249449419252,-0.2768070906250903,-0.5285540521529905,-1.280897721812772
27,robotD,0.05,0.0,,,robotA,5.0,0.8611220758858955,-0.2494015157228286,0.612295455476985,-0.13600819917754176,0.19293074119836076,0.23990888472118121,-0.5992421736306509,-0.056759751242538355
27,robotE,0.0,0.5,,,robotA,4.0,0.2069008135062032,-0.560240971414625,0.6293063775698692,-0.11251701273928628,0.189563737160667,-0.604525644925539,-0.5649458548860614,-1.5653498523716973
